,code,type,origin,destination,place,name_x,est_sum_total_est_x,est_sum_total_est_y,growth_rate
0,214902,آزادراه,نطنز,اصفهان,نطنز,آزادراه نطنز - اصفهان (نطنز),114598,244052.0,-53.04361365610608
1,213163,آزادراه,زرین شهر,اصفهان,فلاورجان,آزادراه زرين شهر - اصفهان(فلاورجان),418850,627755.0,-33.278110090720105
2,215104,آزادراه,شاهین‌شهر,اصفهان,آزادراه معلم,آزادراه شاهين‌شهر - اصفهان (آزادراه معلم),131893,184180.0,-28.38907590400695
3,213164,,فرودگاه,اصفهان,قهجاورستان,فرودگاه - اصفهان(قهجاورستان),121710,157353.0,-22.651617700329837
4,213153,,مورچه‌خورت,اصفهان,پلیس‌راه) (متناظر توزین,مورچه‌خورت - اصفهان (پليس‌راه) (متناظر توزين),239134,297109.0,-19.513040668576178
5,215253,,شهرضا,اصفهان,سه‌راهی مبارکه,شهرضا - اصفهان (سه‌راهي مبارکه),368604,430424.0,-14.362582012155457
6,213156,,زیار,اصفهان,,زيار - اصفهان,165656,187478.0,-11.639765732512616
7,213154,,اردستان,اصفهان,کمشچه,اردستان - اصفهان (کمشچه),26769,28563.0,-6.280852851591219
8,213269,,سجزی,اصفهان,,سجزي - اصفهان,126106,133941.0,-5.8495904913357375
9,214552,,مبارکه,اصفهان,,مبارکه - اصفهان,154887,160250.0,-3.3466458658346334
10,214901,آزادراه,نطنز,اصفهان,عوارضی اصفهان,آزادراه نطنز - اصفهان (عوارضي اصفهان),118148,121060.0,-2.4054188005947466
11,213155,,علویجه,اصفهان,,علويجه - اصفهان,48171,47218.0,2.018298106654242
12,214762,,نجف‌آباد,اصفهان,نجف‌آباد - فولادشهر,نجف‌آباد - اصفهان (نجف‌آباد - فولادشهر),154872,148748.0,4.117030144943126
13,213279,,فلاورجان,اصفهان,کمربندی سپاهان شهر,فلاورجان - اصفهان (کمربندي سپاهان شهر),83983,73701.0,13.950964030338804
