code,name,date,duration,total_count,car_count,total_est,car_est,avg_speed,total_est_normal
733901,کامياران - پالنگان,1402-12-10,1435,3924,3351,3931,3356,77,-0.33544303797468356
733901,کامياران - پالنگان,1402-12-11,1435,4631,4484,4656,4508,77,0.32007233273056057
733901,کامياران - پالنگان,1402-12-12,1430,3164,2920,3193,2946,78,-1.0027124773960217
733901,کامياران - پالنگان,1402-12-13,1400,3334,3039,3345,3049,78,-0.8652802893309223
733901,کامياران - پالنگان,1402-12-14,1390,2991,2644,3188,2818,78,-1.0072332730560578
733901,کامياران - پالنگان,1402-12-15,1420,2892,2602,2941,2646,78,-1.2305605786618445
733901,کامياران - پالنگان,1402-12-16,1435,3500,3234,3518,3250,78,-0.7088607594936709
733901,کامياران - پالنگان,1402-12-17,1440,4795,4484,4795,4484,71,0.445750452079566
733901,کامياران - پالنگان,1402-12-18,1435,5222,4967,5267,5009,74,0.8725135623869801
733901,کامياران - پالنگان,1402-12-19,1440,3583,3267,3583,3267,78,-0.6500904159132007
733901,کامياران - پالنگان,1402-12-20,1440,3279,3011,3279,3011,76,-0.9249547920433996
733901,کامياران - پالنگان,1402-12-21,1405,3319,3035,3403,3111,79,-0.8128390596745028
733901,کامياران - پالنگان,1402-12-22,1440,3519,3217,3519,3217,77,-0.7079566003616636
733901,کامياران - پالنگان,1402-12-23,1440,3483,3179,3483,3179,79,-0.740506329113924
733901,کامياران - پالنگان,1402-12-24,1430,5157,4941,5187,4969,75,0.8001808318264014
733901,کامياران - پالنگان,1402-12-25,1440,4547,4433,4547,4433,78,0.22151898734177214
733901,کامياران - پالنگان,1402-12-26,1435,3694,3517,3712,3534,77,-0.5334538878842676
733901,کامياران - پالنگان,1402-12-27,1425,3751,3384,3809,3436,79,-0.445750452079566
733901,کامياران - پالنگان,1402-12-28,1420,3197,3086,3262,3148,70,-0.9403254972875226
733901,کامياران - پالنگان,1402-12-29,1440,3260,3204,3260,3204,71,-0.9421338155515371
733901,کامياران - پالنگان,1403-01-01,1435,3919,3876,3941,3897,73,-0.32640144665461124
733901,کامياران - پالنگان,1403-01-02,1375,4992,4877,4995,4879,76,0.6265822784810127
733901,کامياران - پالنگان,1403-01-03,1440,6609,6461,6609,6461,71,2.0858951175406872
733901,کامياران - پالنگان,1403-01-04,1440,4331,4200,4331,4200,76,0.026220614828209764
733901,کامياران - پالنگان,1403-01-05,1435,4318,4150,4320,4151,72,0.0162748643761302
733901,کامياران - پالنگان,1403-01-06,1430,3516,3370,3518,3371,76,-0.7088607594936709
733901,کامياران - پالنگان,1403-01-07,1435,4553,4449,4554,4449,74,0.22784810126582278
733901,کامياران - پالنگان,1403-01-08,1440,4415,4219,4415,4219,76,0.10216998191681737
733901,کامياران - پالنگان,1403-01-09,1410,5910,5652,5924,5665,74,1.4665461121157324
733901,کامياران - پالنگان,1403-01-10,1440,7959,7648,7959,7648,74,3.306509945750452
733901,کامياران - پالنگان,1403-01-11,1440,5463,5273,5463,5273,76,1.0497287522603977
733901,کامياران - پالنگان,1403-01-12,1440,6321,6139,6321,6139,76,1.8254972875226039
733901,کامياران - پالنگان,1403-01-13,1375,8523,8413,8801,8687,64,4.067811934900543
733901,کامياران - پالنگان,1403-01-14,1440,4204,4056,4204,4056,78,-0.08860759493670886
733901,کامياران - پالنگان,1403-01-15,1440,4515,4270,4515,4270,77,0.19258589511754068
733901,کامياران - پالنگان,1403-01-16,1440,5364,5163,5364,5163,77,0.9602169981916817
733901,کامياران - پالنگان,1403-01-17,1375,5820,5602,5844,5625,78,1.3942133815551536
733901,کامياران - پالنگان,1403-01-18,1405,4350,4186,4359,4194,78,0.051537070524412296
733901,کامياران - پالنگان,1403-01-19,1415,3437,3281,3496,3337,78,-0.72875226039783
733901,کامياران - پالنگان,1403-01-20,1305,3459,3281,4045,3836,79,-0.23236889692585896
